name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,row_ref
LEOTUDE Regular Fit Half Sleeve Round Neck Men's T-Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/71f7A-nMvlL._AC_UL320_.jpg,https://www.amazon.in/LEOTUDE-Regular-Round-T-Shirt-99_Aluminium_P_Aluminium_M/dp/B0BTVR1YNN/ref=sr_1_33?qid=1679139859&s=apparel&sr=1-33,4.8,7,₹299,"₹1,099",A_TSHIRT_025
LEOTUDE Men's Regular Fit Half Sleeve Matty Polo T-Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/71DNOWgs62L._AC_UL320_.jpg,https://www.amazon.in/LEOTUDE-Regular-Sleeve-T-Shirt-Colored/dp/B09QHRDB82/ref=sr_1_34?qid=1679139859&s=apparel&sr=1-34,3.5,"1,293",₹294,"₹1,099",A_TSHIRT_026
Allen Solly Men's Regular Fit T-Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/71m0PW9bIML._AC_UL320_.jpg,https://www.amazon.in/Allen-Solly-Regular-T-Shirt-ASKCQRGFK60611_Black/dp/B08KFHJYX4/ref=sr_1_35?qid=1679139859&s=apparel&sr=1-35,4.0,"3,607",₹389,₹799,A_TSHIRT_027
Jack & Jones Men's Slim T-Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/81fKe7bkVRL._AC_UL320_.jpg,https://www.amazon.in/Jack-Jones-T-Shirt-242219002_Light-Melange/dp/B099FCZBCV/ref=sr_1_36?qid=1679139859&s=apparel&sr=1-36,3.7,602,₹269,"₹1,099",A_TSHIRT_028
Jockey Men's Plain Inner T Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/714k6aWQHML._AC_UL320_.jpg,https://www.amazon.in/Jockey-Mens-Plain-MC06-0105-White_Large/dp/B07MSJJWGK/ref=sr_1_37?qid=1679139859&s=apparel&sr=1-37,4.0,"1,470",₹349,₹379,A_TSHIRT_029
AELOMART Men's T Shirt-(Amt250105-P_Green),men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/71O1QaI-sbL._AC_UL320_.jpg,https://www.amazon.in/AELOMART-Shirt-Amt25105-P_Green-Green-Large/dp/B09KBJY64Y/ref=sr_1_38?qid=1679139859&s=apparel&sr=1-38,3.8,"1,756",₹499,"₹1,499",A_TSHIRT_030
LEOTUDE Men's Cotton Blend Oversized Printed Round Neck T-Shirt(Color: Red),men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/71fPSHEIAWL._AC_UL320_.jpg,https://www.amazon.in/LEOTUDE-Cottonblend-Round-Tshirt-FS49_BATLE_P_Red_L/dp/B0B2LVCF95/ref=sr_1_39?qid=1679139859&s=apparel&sr=1-39,3.6,605,₹294,"₹1,099",A_TSHIRT_031
EYEBOGLER Men's Striped Regular fit T-Shirt (T285HS_White Darknavy Indigo Royal S) EYEBOGLERMenRegularT-Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/61rSf7lBx1L._AC_UL320_.jpg,https://www.amazon.in/EYEBOGLER-Regular-T-Shirt-T285HS_White-Dark-Navy-Mustard/dp/B08MCZCYY6/ref=sr_1_40?qid=1679139859&s=apparel&sr=1-40,3.8,"14,002",₹329,"₹1,299",A_TSHIRT_032
Veirdo Men Loose Fit T-Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/71ejKn8jYtL._AC_UL320_.jpg,https://www.amazon.in/Veirdo-Shoulder-Printed-Sleeves-Oversized/dp/B09TPGL93X/ref=sr_1_41_mod_primary_new?qid=1679139859&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-41,4.2,"1,030",₹419,"₹1,199",A_TSHIRT_033
EYEBOGLER Men T-Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/515PNKYCDcL._AC_UL320_.jpg,https://www.amazon.in/EYEBOGLER-Mens-Regular-T-Shirt-T653_Grey/dp/B0BRSQSS9L/ref=sr_1_42?qid=1679139859&s=apparel&sr=1-42,4.4,4,₹229,"₹1,299",A_TSHIRT_034
"Veirdo® Cotton Half Sleeve Printed Oversized T-Shirts for Men, Drop Shoulder Tshirt, Baggy T Shirts for Men, Cool Attracti...",men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/614o+XQz7UL._AC_UL320_.jpg,https://www.amazon.in/Veirdo-Oversized-T-Shirts-Shoulder-Attractive/dp/B0B4PBFZC3/ref=sr_1_43?qid=1679139859&s=apparel&sr=1-43,3.9,79,₹399,"₹1,199",A_TSHIRT_035
Amazon Brand - Symbol Men's Solid Regular fit T-Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/719yggosnuL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Symbol-T-Shirt-AW17PLPO5-2_M_Multicolor2/dp/B073X4BMZZ/ref=sr_1_44?qid=1679139859&s=apparel&sr=1-44,4.1,"14,440",₹932.62,"₹2,195",A_TSHIRT_036
Veirdo® 100% Cotton Oversize Drop Shoulder Loose Fit Round Neck Half Sleeve Animal Printed T-Shirt for Men/Boys,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/61r0PYFOONL._AC_UL320_.jpg,https://www.amazon.in/Veirdo-Oversized-Printed-T-Shirt-Men_UNI_100_OSCOW_XL_White_X-Large/dp/B09CV46GQY/ref=sr_1_45?qid=1679139859&s=apparel&sr=1-45,3.7,"1,039",₹339,"₹1,199",A_TSHIRT_037
Veirdo Men T-Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/71Brw1n5ByL._AC_UL320_.jpg,https://www.amazon.in/Veirdo%C2%AE-Oversized-Printed-T-Shirt-Multicolour/dp/B0B84R7Q79/ref=sr_1_46?qid=1679139859&s=apparel&sr=1-46,4.2,229,₹689,"₹2,399",A_TSHIRT_038
Max Men Tshirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/81vHlgI1+dL._AC_UL320_.jpg,https://www.amazon.in/Max-Mens-Solid-Slim-AMPSP2001HSCNAVY_Navy/dp/B08353M893/ref=sr_1_47?qid=1679139859&s=apparel&sr=1-47,4.0,"12,088",₹399,₹449,A_TSHIRT_039
Jockey 2726 Men's Super Combed Cotton Rich Solid V Neck Half Sleeve T-Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/71sGfOZcpwL._AC_UL320_.jpg,https://www.amazon.in/Jockey-2726-0105-BLACK-Black-T-Shirt-2726-0105-BLACK_Black_L/dp/B00W05Z52G/ref=sr_1_48?qid=1679139859&s=apparel&sr=1-48,4.3,"15,674",₹549,₹579,A_TSHIRT_040
