name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,row_ref
Lavie Women's Beech Satchel Bag | Ladies Purse Handbag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81Xdo8YO4mS._AC_UL320_.jpg,https://www.amazon.in/Lavie-Beech-Womens-Satchel-Handbag/dp/B096KTWTXC/ref=sr_1_33?qid=1679158589&s=shoes&sr=1-33,4.2,"3,759","₹1,389","₹3,990",A_BAG_025
Fostelo Handbag For Women And Girls | Ladies Purse Faux Leather Satchel Bag | Woman Gifts | Wedding Gifts For Women | Wome...,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Fa7wW9FvL._AC_UL320_.jpg,https://www.amazon.in/Fostelo-Style-Diva-Womens-Handbag/dp/B00Z0NMFKU/ref=sr_1_34?qid=1679158589&s=shoes&sr=1-34,3.9,"7,090",₹629,"₹2,799",A_BAG_026
Fargo Pink Women Sling Bag (FGO-491_Pink_BowSling),accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51JLMhx1p4L._AC_UL320_.jpg,https://www.amazon.in/Fargo-Pink-Women-Sling-FGO-491_Pink_BowSling/dp/B0BN6DD5Z6/ref=sr_1_35?qid=1679158589&s=shoes&sr=1-35,3.7,11,₹170,₹999,A_BAG_027
WOMEN MARKS Women's Handbag (NSB000059_Tan),accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71aNghS-pCL._AC_UL320_.jpg,https://www.amazon.in/WOMEN-MARKS-TAN-COLOR-HANDBAG/dp/B074W16PMG/ref=sr_1_36?qid=1679158589&s=shoes&sr=1-36,4.0,"3,525",₹500,"₹2,199",A_BAG_028
Lavie Women's Broxa Flap Over Sling Bag | Ladies Purse Handbag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61L+2HeKv-S._AC_UL320_.jpg,https://www.amazon.in/Lavie-Broxa-Flap-Womens-Sling/dp/B08QTF8RPM/ref=sr_1_37?qid=1679158589&s=shoes&sr=1-37,4.2,"5,669",₹959,"₹3,199",A_BAG_029
PALAY Women's Small Cross-Body Phone Bag Stylish PU Leather Mobile Cell Phone Holder Pocket Purse Wallet Sling Bag Mini Sh...,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Kz7ZsUR3L._AC_UL320_.jpg,https://www.amazon.in/PALAY%C2%AE-Crossbody-Mobile-Leather-Shoulder/dp/B09GYGRB56/ref=sr_1_38?qid=1679158589&s=shoes&sr=1-38,4.2,"1,109",₹749,"₹1,305",A_BAG_030
ASTRID Women's Round Sling Bag with Pompoms (Brown),accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91y8lUVpsRL._AC_UL320_.jpg,https://www.amazon.in/ASTRID-Womens-Round-Sling-Pompoms/dp/B08VS8JBNK/ref=sr_1_39?qid=1679158589&s=shoes&sr=1-39,4.4,345,₹474,₹999,A_BAG_031
Lino Perros Women Handbag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/6151MAuWlzL._AC_UL320_.jpg,https://www.amazon.in/Lino-Perros-Womens-Handbag-White/dp/B07L4QGTR4/ref=sr_1_40?qid=1679158589&s=shoes&sr=1-40,4.3,"2,496","₹1,494","₹4,495",A_BAG_032
"Storite Canvas Sling Cross Body Travel Office Business Messenger One Side Shoulder Bag for Men & Women (Grey, 33cm x 6.5cm...",accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91BEcNhIXWL._AC_UL320_.jpg,https://www.amazon.in/Storite-Canvas-Business-Messenger-Bag/dp/B09DYTDSY6/ref=sr_1_41?qid=1679158589&s=shoes&sr=1-41,4.0,"2,150",₹899,"₹3,999",A_BAG_033
EXOTIC Women's Sling Bag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61nPtGyMrdS._AC_UL320_.jpg,https://www.amazon.in/Exotic-Sling-Womens-Girls-Grey/dp/B092VSZ69M/ref=sr_1_42?qid=1679158589&s=shoes&sr=1-42,4.3,"2,141",₹459,"₹1,599",A_BAG_034
