name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,row_ref,supplier_id
IFLASH Rectangle Sunglasses for Women Retro Fashion Sunglasses UV 400 Protection Square Frame Eyewear,women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51dOu+j2-yL._AC_UL320_.jpg,https://www.amazon.in/IFLASH-Rectangle-Sunglasses-Fashion-Protection/dp/B0BGJK5Z5M/ref=sr_1_31?qid=1679152740&s=apparel&sr=1-31,3.8,33,₹249,"₹1,999",A_CLOTH_023,supplier_a
"PLUMBURY® Postpartum Post Pregnancy Recovery Waist Trimmer Tummy Control Shapewear Belt, Free Size",women's clothing,Clothing,https://m.media-amazon.com/images/I/41lfPoHOSxL._AC_UL320_.jpg,https://www.amazon.in/PLUMBURY%C2%AE-Postpartum-Pregnancy-Recovery-Shapewear/dp/B07Y8TFTWX/ref=sr_1_101?qid=1679152743&s=apparel&sr=1-101,3.5,863,₹429,"₹1,299",A_CLOTH_097,supplier_a
"SAJANI Boob Tape with 10 Nipple Pasties, multipurpose Body Tape for Women, Push Up & Lifting Breast Tape, Boob Tape for La...",women's clothing,Clothing,https://m.media-amazon.com/images/I/41Y7viJPqlL._AC_UL320_.jpg,https://www.amazon.in/SAJANI-Pasties-multipurpose-Friendly-Adhesive/dp/B0BVBPM7HM/ref=sr_1_61?qid=1679152742&s=apparel&sr=1-61,5.0,2,₹248,₹499,A_CLOTH_057,supplier_a
ANNI DESIGNER Women's Rayon Straight Printed Kurta with Pant & Dupatta (Bulgeriya),women's clothing,Clothing,https://m.media-amazon.com/images/I/61Zcczn8e0L._AC_UL320_.jpg,https://www.amazon.in/ANNI-DESIGNER-Straight-Printed-Bulgeriya-Blue_L_Blue_Large/dp/B0B4NZJ2XG/ref=sr_1_115?qid=1679152743&s=apparel&sr=1-115,3.6,451,₹679,"₹2,599",A_CLOTH_111,supplier_a
Fashnex Waist Belt Made of Neoprene for Women & Men for Tummy Exercise.,women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61UkXKsUs8S._AC_UL320_.jpg,https://www.amazon.in/Fashnex-Sweat-Slim-Neoprene-Women/dp/B08C2CXML7/ref=sr_1_39?qid=1679152740&s=apparel&sr=1-39,4.5,709,₹959.04,"₹2,499",A_CLOTH_031,supplier_a
Creature Black & Green Sunglasses Combo For Men & Women with UV Protection (Lens-Black & Green||Frame-Black||SUN-001-003)...,women's clothing,Clothing,https://m.media-amazon.com/images/I/71CxtNKeTlL._AC_UL320_.jpg,https://www.amazon.in/CREATURE-Wayfarer-Unisex-Sunglasses-Protection/dp/B079Z4FJD7/ref=sr_1_58?qid=1679152742&s=apparel&sr=1-58,3.7,"4,377",₹399,"₹2,499",A_CLOTH_054,supplier_a
Lymio Women Top (526-576),women's clothing,Clothing,https://m.media-amazon.com/images/I/61Fxn7u8yGL._AC_UL320_.jpg,https://www.amazon.in/Lymio-Women-Top-526-576-Peach/dp/B0B82JLXZS/ref=sr_1_127?qid=1679152743&s=apparel&sr=1-127,4.1,"2,849",₹399,"₹1,499",A_CLOTH_119,supplier_a
LEOTUDE Women's Cottonblend Half Sleeve Oversized T-Shirts (Color: Orange),women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61iKv6-unXL._AC_UL320_.jpg,https://www.amazon.in/Leotude-Womens-T-Shirt-22_PNKHEART_S_Grey_Small/dp/B08HJ6ZDC6/ref=sr_1_14?qid=1679152740&s=apparel&sr=1-14,3.6,162,₹309,"₹1,099",A_CLOTH_010,supplier_a
"PURSUE FASHION Premium Cotton Ankle Socks for Men and Women - Free Size, Solid Unisex Ankle Length Socks, Pack of 5 (Multi...",women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71gqkgPxczL._AC_UL320_.jpg,https://www.amazon.in/PURSUE-FASHION-Womens-Ankle-Socks/dp/B0BBG1SWK5/ref=sr_1_42?qid=1679152740&s=apparel&sr=1-42,3.9,66,₹289,₹699,A_CLOTH_034,supplier_a
Adidas Unisex Ankle Length Standard Cotton Socks (Pack of 3) Assorted,women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51Vti5wgA3L._AC_UL320_.jpg,https://www.amazon.in/adidas-Unisex-Ankle-Grip-Socks/dp/B00LQC7GIA/ref=sr_1_34?qid=1679152740&s=apparel&sr=1-34,4.0,"1,968",₹280,₹597,A_CLOTH_026,supplier_a
"Gokru 4-in-1 Shaper - Tummy, Back, Thighs, Hips - Black/Efffective Seamless Tummy Tucker Shapewear Body Shaper Best While/...",women's clothing,Clothing,https://m.media-amazon.com/images/I/61NX3KGkbTL._AC_UL320_.jpg,https://www.amazon.in/Gokru-4-Shaper-Efffective-Shapewear/dp/B0BDVR7353/ref=sr_1_78?qid=1679152742&s=apparel&sr=1-78,3.5,106,₹499.99,₹999,A_CLOTH_070,supplier_a
Alexvyan Women Warm Thick Fur Lined Fleece Thermal Soft Legging Winter Slim Fit Tights Stocking,women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41kY+dxDpzL._AC_UL320_.jpg,https://www.amazon.in/Alexvyan-Fleece-Legging-Thermal-Leggings/dp/B07YR2SVYS/ref=sr_1_37?qid=1679152740&s=apparel&sr=1-37,4.3,"2,258",₹729,"₹1,299",A_CLOTH_029,supplier_a
Galmonde Women's Cotton Clip-on Mock Lace Camisole Cami Secret (Free Size)- Set of 3,women's clothing,Clothing,https://m.media-amazon.com/images/I/61+aEr8p4mL._AC_UL320_.jpg,https://www.amazon.in/Galmonde-Womens-Polyester-Camisole-Secret/dp/B09HNXR3S5/ref=sr_1_103?qid=1679152743&s=apparel&sr=1-103,4.0,98,₹279,₹999,A_CLOTH_099,supplier_a
Lyra Women's Slim Fit Pants (LYRA_KURTIPANT_10_FS_1PC_White_One Size_White),women's clothing,Clothing,https://m.media-amazon.com/images/I/5190YIwgb-L._AC_UL320_.jpg,https://www.amazon.in/LUX-LYRA-Womens-Tapered-LYRA_KURTIPANT_10_FS_1PC_White_One/dp/B07HZCZJ3N/ref=sr_1_94?qid=1679152742&s=apparel&sr=1-94,3.9,"2,204",₹411,₹549,A_CLOTH_086,supplier_a
GLAMORAS Women Camisole (Glcamisecret_Black-White-Beige_Free Size),women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/517vKSMkKvL._AC_UL320_.jpg,https://www.amazon.in/Ritu-Creation-Womens-Cotton-Camisole/dp/B07B94Z577/ref=sr_1_10?qid=1679152740&s=apparel&sr=1-10,4.1,668,₹284,₹799,A_CLOTH_006,supplier_a
SIGHTBOMB Heart Neck Extended Sleeves Ribbed Tops for Women,women's clothing,Clothing,https://m.media-amazon.com/images/I/51RQrauiUrL._AC_UL320_.jpg,https://www.amazon.in/SIGHTBOMB-Extended-Sleeves-Ribbed-Small-Medium/dp/B0BHX9DG5C/ref=sr_1_99?qid=1679152742&s=apparel&sr=1-99,3.8,112,₹389,"₹1,200",A_CLOTH_091,supplier_a
"Skudgear Best Lightweight Headband Workout Sweatbands for Men & Women (Black, One Size, 1pc) | Gym Equipment | Running, Yo...",women's clothing,Clothing,https://m.media-amazon.com/images/I/51EU2h563mL._AC_UL320_.jpg,https://www.amazon.in/SKUDGEAR-Advanced-Headband-Men-Women/dp/B07F1NVDZ2/ref=sr_1_77_mod_primary_new?qid=1679152742&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-77,4.2,"5,931",₹225,"₹1,999",A_CLOTH_069,supplier_a
"Fabme Women Lace, Padded Tube Bra - Free Size - 3 Hook Back",women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81tjhOx5UCL._AC_UL320_.jpg,https://www.amazon.in/Fabme-Womens-Strapless-Padded-BR0263_Black_Free/dp/B07HL9PC8T/ref=sr_1_48?qid=1679152740&s=apparel&sr=1-48,3.3,"2,215",₹109,₹699,A_CLOTH_040,supplier_a
